,source,target,weight
0,1,9,3.6629198049495204e-05
1,1,10,0.000382775119617225
2,1,11,0.00050631629578998
3,1,34,0.0028930677645487898
4,1,35,0.00582483877678386
5,1,36,0.00312044934470564
6,1,37,0.00015335541651331102
7,1,41,0.00883327199116673
8,1,42,0.00956937799043062
9,1,43,0.0022883295194508
10,1,46,0.0022912595188355
11,1,47,0.0039677908740809896
12,1,48,0.00511466754660947
13,1,49,0.0084577835774008
14,1,50,0.009157791840304571
15,1,51,0.00345125107851596
16,1,52,0.00323670137911624
17,1,53,0.008566871724766459
18,1,54,0.00514175533814183
19,1,55,0.0016642396505096699
20,1,57,0.000264347458299188
21,1,58,0.00152240104393214
22,1,61,0.00382775119617225
23,1,63,0.00022784233310549102
24,1,64,0.000201460589272224
25,1,66,0.00106326422115896
26,1,67,0.000558213716108453
27,2,9,5.7473741684268e-06
28,2,10,6.0060060060060106e-05
29,2,11,7.944452388896829e-05
30,2,34,0.00045394231440743096
31,2,35,0.000913957435696566
32,2,36,0.000489620054837446
33,2,37,2.4062524062524104e-05
34,2,41,0.0013860013860013901
35,2,42,0.0015015015015015
36,2,43,0.000359054706880794
37,2,46,0.000359514444021486
38,2,47,0.000622573793305501
39,2,48,0.00080252666459563
40,2,49,0.0013270846604179901
41,2,50,0.0014369207917595
42,2,51,0.0005415251316890661
43,2,52,0.000507860801978449
44,2,53,0.0013442013442013401
45,2,54,0.000806776926179911
46,2,55,0.000261130695913305
47,2,57,4.14779420304282e-05
48,2,58,0.00023887523887523903
49,2,61,0.000600600600600601
50,2,63,3.57500357500358e-05
51,2,64,3.16105579263474e-05
52,2,66,0.000166833500166834
53,2,67,8.75875875875876e-05
54,3,9,5.46431291387901e-06
55,3,10,5.71020699500357e-05
56,3,11,7.553183855824829e-05
57,3,34,0.00043158541241306
58,3,35,0.000868944542717934
59,3,36,0.000465506005027465
60,3,37,2.2877431871007897e-05
61,3,41,0.00131774007577005
62,3,42,0.00142755174875089
63,3,43,0.000341371070353474
64,3,46,0.00034180816519387597
65,3,47,0.00059191170070159
66,3,48,0.000763001796746167
67,3,49,0.00126172503046165
68,3,50,0.0013661516735358
69,3,51,0.000514854729057699
70,3,52,0.00048284838560691903
71,3,53,0.00127799870840556
72,3,54,0.000767042730672121
73,3,55,0.000248269869347981
74,3,57,3.9435131180963896e-05
75,3,58,0.00022711050548309702
76,3,61,0.000571020699500357
