,source,target,weight
0,1,18,5.23277157197549e-05
1,1,19,0.00611376927166402
2,1,20,0.003537236649212476
3,1,30,0.00045145480228808065
4,1,38,5.116487759264928e-05
5,1,41,0.00029518198611143767
6,1,43,0.0005005259764498285
7,1,53,5.481951170640984e-05
8,1,61,0.0003837365819448696
9,2,18,1.642116003818131e-05
10,2,19,0.0019185852519185862
11,2,20,0.0011100337232513634
12,2,30,0.000141672753270584
13,2,38,1.6056245370666185e-05
14,2,41,9.263218483076645e-05
15,2,43,0.00015707196558260408
16,2,53,1.7203120039999484e-05
17,2,61,0.00012042184027999651
18,3,18,1.561240911553e-05
19,3,19,0.001824093901181697
20,3,20,0.0010553639681447652
21,3,30,0.00013469529433006265
22,3,38,1.526546669074043e-05
23,3,41,8.80700001388871e-05
24,3,43,0.00014933608719202605
25,3,53,1.6355857168650463e-05
26,3,61,0.00011449100018055327
27,4,18,5.086740737408728e-05
28,4,19,0.005943152454780364
29,4,20,0.0034385230683042106
30,4,30,0.00043885606361957765
31,4,38,4.9737020543552e-05
32,4,41,0.00028694434928972195
33,4,43,0.00048655780966518156
34,4,53,5.3289664868091434e-05
35,4,61,0.00037302765407663883
36,6,18,5.086740737408728e-05
37,6,19,0.005943152454780364
38,6,20,0.0034385230683042106
39,6,30,0.00043885606361957765
40,6,38,4.9737020543552e-05
41,6,41,0.00028694434928972195
42,6,43,0.00048655780966518156
43,6,53,5.3289664868091434e-05
44,6,61,0.00037302765407663883
45,9,18,7.325880200765681e-05
46,9,19,0.008559276980329612
47,9,20,0.00495213130889747
48,9,30,0.0006320367232033122
49,9,38,7.16308286297088e-05
50,9,41,0.00041325478055601365
51,9,43,0.0007007363670297607
52,9,53,7.674731638897368e-05
53,9,61,0.000537231214722816
54,11,18,8.679756020181564e-05
55,11,19,0.010141093474426807
56,11,20,0.005867321108614338
57,11,30,0.0007488416958588
58,11,38,8.486872553066403e-05
59,11,41,0.0004896272626769072
60,11,43,0.0008302375323651929
61,11,53,9.093077735428305e-05
62,11,61,0.0006365154414799821
63,16,18,0.00021444103108683848
64,16,19,0.02505446623093688
65,16,20,0.01449573450363544
66,16,30,0.0018500794838864488
67,16,38,0.00020967567484046437
68,16,41,0.0012096673548488333
69,16,43,0.0020511750799610644
70,16,53,0.00022465250875764023
71,16,61,0.001572567561303482
72,17,18,0.0002006695887234636
73,17,19,0.0234454638124363
74,17,20,0.013564815774044184
75,17,30,0.0017312670399671358
76,17,38,0.00019621026452960882
77,17,41,0.0011319822953631269
78,17,43,0.001919448239963564
79,17,53,0.00021022528342458082
80,17,61,0.0014715769839720669
81,18,18,4.9711329933767134e-05
82,18,19,0.005808080808080812
83,18,20,0.0033603748167518608
84,18,30,0.00042888206217367686
85,18,38,4.8606633713016716e-05
86,18,41,0.0002804228868058668
87,18,43,0.0004754996776273382
88,18,53,5.207853612108924e-05
89,18,61,0.00036454975284762656
90,19,18,0.0008650333118418232
91,19,19,0.10106716886377916
92,19,20,0.05847431884517359
93,19,30,0.0074630324943216015
94,19,38,0.0008458103493564497
