,source,target,weight
0,2,0,0.0019972802991670893
1,2,1,0.0016038766038766019
2,2,2,0.0024901027153279376
3,2,3,0.0015741115848182216
4,2,4,0.002092499476220404
5,2,5,0.00191767854811333
6,2,6,0.001600146658286192
7,2,7,0.0030030030030029986
8,2,8,0.0025634608967942275
9,2,9,0.0028194462404988697
10,2,10,0.00180837087087087
11,2,11,0.0021236514292069827
12,2,12,0.002461764089671065
13,2,13,0.0025033479425371303
14,2,14,0.0009693759693759684
15,2,15,0.000400969150969152
16,2,16,8.648354236589508e-05
17,2,18,4.009691509691491e-05
18,2,20,4.9281124700119206e-05
19,2,22,0.0003307995495495503
20,2,23,0.0012404983108108085
21,2,24,0.0010788666364205932
22,2,25,0.00036175765671033665
23,2,26,0.0003835357096226648
24,2,27,0.00022912522912522885
25,2,28,0.0011309386309386294
26,2,29,0.0005880880880880867
27,2,30,0.0008648354236589508
28,2,31,0.0003835357096226648
29,2,36,9.588392740566651e-05
30,2,47,7.171805952293741e-05
31,2,50,9.485291743356241e-05
32,2,51,0.00014461182493969354
33,2,52,0.0002594506270976855
34,2,53,4.200629200629196e-05
35,2,58,0.0001336563836563835
36,2,59,5.479081566038069e-05
37,2,69,0.00012424396227213126
38,2,70,0.00019176785481133301
39,2,71,7.290348199439114e-05
40,2,72,0.00046081529290484334
41,2,73,0.0003675550550550543
42,2,74,0.00044854176210108303
43,2,77,0.00029404404404404335
44,2,78,0.00012784523654088846
45,2,79,0.00047257078507078487
46,2,80,0.00016038766038766017
47,2,81,0.0007351101101101085
48,2,82,0.00029404404404404335
49,2,83,0.00021781040299558778
50,2,84,0.00014227937615034358
51,2,85,0.00015209174691933306
52,2,87,0.00022618772618772598
53,2,89,2.3713229358390632e-05
54,2,91,2.178104029955878e-05
55,16,0,0.006520532741398452
56,16,1,0.0052361853832442
57,16,2,0.00812945298239415
58,16,3,0.005139011350435962
59,16,4,0.0068313953488372105
60,16,5,0.006260656436487641
61,16,6,0.0052240082079343395
62,16,7,0.009803921568627446
63,16,8,0.008368945868945862
64,16,9,0.009204662726334528
65,16,10,0.0059037990196078435
66,16,11,0.006933097312999274
67,16,12,0.008036935704514345
68,16,13,0.008172694753577106
69,16,14,0.003164727429433311
70,16,15,0.00130904634581105
71,16,16,0.00028234332948865777
72,16,18,0.00013090463458110502
73,16,20,0.0001608883776974474
74,16,22,0.0010799632352941153
75,16,23,0.00404986213235295
76,16,24,0.003522182254196635
77,16,25,0.0011810323498484569
78,16,26,0.0012521312872975253
79,16,27,0.0007480264833206005
80,16,28,0.0036921820010055134
81,16,29,0.0019199346405228733
82,16,30,0.002823433294886577
83,16,31,0.0012521312872975253
84,16,36,0.00031303282182438056
85,16,47,0.00023413837079547245
86,16,50,0.00030966687750369
87,16,51,0.00047211507553841125
88,16,52,0.0008470299884659747
89,16,53,0.00013713818860877682
90,16,58,0.0004363487819370167
91,16,59,0.00017887589818536088
92,16,69,0.0004056199944766649
93,16,70,0.0006260656436487641
94,16,71,0.0002380084265111001
95,16,72,0.0015044263974246404
96,16,73,0.0011999591503267966
97,16,74,0.0014643569292123618
98,16,77,0.0009599673202614367
99,16,78,0.0004173770957658408
100,16,79,0.0015428046218487366
101,16,80,0.0005236185383244201
102,16,81,0.002399918300653593
103,16,82,0.0009599673202614367
104,16,83,0.0007110869038973604
