,source,target,weight
0,0,46,0.016505791379845022
1,0,48,0.04041073061962057
2,0,50,0.02520239113911821
3,0,51,0.07684663527665546
4,0,52,0.017233988058367587
5,0,53,0.01674158839955709
6,0,54,0.017491211760731283
7,0,55,0.010190532069295604
8,0,58,0.008878115060371191
9,0,92,0.33119229225210745
10,1,46,0.0002790452769160402
11,1,48,0.0006831798158978928
12,1,50,0.0004260691324954588
13,1,51,0.0012991616171173026
14,1,52,0.0002913560979564537
15,1,53,0.0002830316380148406
16,1,54,0.00029570469643341537
17,1,55,0.00017228012748729416
18,1,58,0.00015009253531090037
19,1,92,0.005599104143337068
20,2,46,0.015674719001060017
21,2,48,0.03837603617500904
22,2,50,0.02393344191559704
23,2,51,0.07297738026723033
24,2,52,0.016366250721695008
25,2,53,0.015898643558218028
26,2,54,0.01661052312052629
27,2,55,0.00967743520935012
28,2,58,0.008431098856630787
29,2,92,0.31451664430387843
30,3,46,0.029472439483098002
31,3,48,0.07215666218275704
32,3,50,0.04500092910322485
33,3,51,0.13721594775737445
34,3,52,0.03077269416617586
35,3,53,0.029893474332856537
36,3,54,0.03123198810895458
37,3,55,0.018196027854782245
38,3,58,0.01585260002499966
39,3,92,0.5913709052804218
40,4,46,0.017631767846066997
41,4,48,0.04316743162312965
42,4,50,0.02692162402302704
43,4,51,0.08208888636529556
44,4,52,0.01840963995692289
45,4,53,0.01788365024386795
46,4,54,0.018684410702548608
47,4,55,0.010885700148441368
48,4,58,0.009483753917202714
49,4,92,0.3537852548243445
50,5,46,0.0025356722989327125
51,5,48,0.006208025283593865
52,5,50,0.003871671682241347
53,5,51,0.011805425129457215
54,5,52,0.002647540194473861
55,5,53,0.002571896188917464
56,5,54,0.0026870557197645178
57,5,55,0.0015655020280367171
58,5,58,0.0013638843426077472
59,5,92,0.050878815911193434
60,6,46,0.002034434751469269
61,6,48,0.00498085749497649
62,6,50,0.003106341233426197
63,6,51,0.009471794580611008
64,6,52,0.002124189225798797
65,6,53,0.0020634981050616885
66,6,54,0.0021558935426017637
67,6,55,0.0012560423248201588
68,6,58,0.0010942792981387718
69,6,92,0.04082137555665511
70,7,46,0.016131191859167664
71,7,48,0.039493607655203634
72,7,50,0.024630421978514085
73,7,51,0.0751025981639936
74,7,52,0.016842862088248603
75,7,53,0.016361637457155808
76,7,54,0.01709424808956575
77,7,55,0.009959257582616569
78,7,58,0.0086766259242493
79,7,92,0.3236758714350383
80,8,46,0.03190179165836713
81,8,48,0.0781043864739333
82,8,50,0.04871026253213055
83,8,51,0.14852637427829915
84,8,52,0.03330922364329505
85,8,53,0.032357531539200915
86,8,54,0.033806376234986064
87,8,55,0.019695888762991883
88,8,58,0.017159297028364114
89,8,92,0.6401163847972344
90,9,46,0.000781326775364911
91,9,48,0.0019129034845140954
92,9,50,0.001192993570987286
93,9,51,0.003637652527928445
94,9,52,0.0008157970742780688
95,9,53,0.0007924885864415523
96,9,54,0.0008279731500135645
97,9,55,0.00048238435696442366
98,9,58,0.0004202590988705225
99,9,92,0.015677491601343796
100,10,46,0.0011664092575090462
101,10,48,0.0028556916304531854
102,10,50,0.001780968973831017
103,10,51,0.005430495559550338
104,10,52,0.0012178684894579778
105,10,53,0.0011830722469020351
106,10,54,0.0012360456310916766
107,10,55,0.0007201309328968907
108,10,58,0.0006273867975995657
109,10,92,0.023404255319148942
110,11,46,0.0009257216329436887
111,11,48,0.0022664219289311
112,11,50,0.0014134674395484296
113,11,51,0.0043099171107542095
114,11,52,0.0009665622932206148
115,11,53,0.000938946227700025
116,11,54,0.000980988596104507
117,11,55,0.0005715324864261045
118,11,58,0.0004979260298409224
119,11,92,0.01857480580884837
120,12,46,0.017970840304645203
121,12,48,0.04399757453895885
122,12,50,0.02743934756193139
123,12,51,0.08366751879539726
124,12,52,0.018763671494556013
125,12,53,0.018227566594711583
126,12,54,0.01904372629298222
127,12,55,0.011095040535911385
128,12,58,0.009666133800225813
129,12,92,0.3605888174171201
130,14,46,0.003204421037112768
131,14,48,0.00784530667706919
132,14,50,0.004892771906129168
133,14,51,0.014918943844918446
134,14,52,0.0033457925534559787
135,14,53,0.0032501984805000947
136,14,54,0.003395729755746368
137,14,55,0.001978381683782667
138,14,58,0.001723590103295503
139,14,92,0.06429740472293663
140,15,46,0.029160231437726187
141,15,48,0.07139229076132952
142,15,50,0.04452422434577543
143,15,51,0.13576238898875784
144,15,52,0.030446712236449413
145,15,53,0.02957680617255084
146,15,54,0.030901140777291936
147,15,55,0.01800327332242225
148,15,58,0.015684669939989095
149,15,92,0.5851063829787235
150,16,46,0.032019077657111095
151,16,48,0.07839153495361689
152,16,50,0.048889344379675084
153,16,51,0.14907242712491064
154,16,52,0.03343168402433661
155,16,53,0.0324764930522127
156,16,54,0.03393066438290879
157,16,55,0.01976830011873815
158,16,58,0.0172223826792037
159,16,92,0.6424697538589902
160,17,46,0.04280400944987349
161,17,48,0.10479602313589652
162,17,50,0.06535665959012929
163,17,51,0.1992842407174428
164,17,52,0.04469242163148556
165,17,53,0.043415495299157315
166,17,54,0.04535947270061208
167,17,55,0.02642682322557395
168,17,58,0.02302336871925004
169,17,92,0.858871754831153
170,18,46,0.0498374864572048
171,18,48,0.12201591511936324
172,18,50,0.07609594706368919
173,18,51,0.23203026481715025
174,18,52,0.05203619909502264
175,18,53,0.050549450549450516
176,18,54,0.052812858783007864
177,18,55,0.030769230769230764
178,18,58,0.026806526806526808
179,18,92,1.0
180,19,46,0.0003294941405392791
181,19,48,0.0008066925509754769
182,19,50,0.0005030985801782536
183,19,51,0.0015340382936582836
184,19,52,0.0003440306467395411
185,19,53,0.00033420119968984003
186,19,54,0.00034916543251177316
187,19,55,0.00020342681720251127
188,19,58,0.00017722790892643047
189,19,92,0.006611371559081624
190,20,46,0.0009774379252869131
191,20,48,0.0023930376791507137
192,20,50,0.0014924321009757132
193,20,51,0.004550694602975134
194,20,52,0.0010205601866966293
195,20,53,0.0009914013242195835
196,20,54,0.0010357924282891169
197,20,55,0.0006034616756119207
198,20,58,0.0005257431264800807
199,20,92,0.01961250445738736
200,22,46,0.012393098361033618
201,22,48,0.03034172357356509
202,22,50,0.018922795346954572
203,22,51,0.057699015320222174
204,22,52,0.012939852700490998
205,22,53,0.01257014262333413
206,22,54,0.013132984830349087
207,22,55,0.007651391162029452
208,22,58,0.006665984724495342
209,22,92,0.2486702127659576
210,24,46,0.0006293575130444495
211,24,48,0.0015408408077984828
212,24,50,0.0009609544822829224
213,24,51,0.002930123503354489
214,24,52,0.0006571232856787621
215,24,53,0.000638348334659372
216,24,54,0.0006669310959127739
217,24,55,0.00038855985587961687
218,24,58,0.00033851805625875726
219,24,92,0.012628195316087538
220,25,46,0.00018397622358186887
221,25,48,0.0004504245473900923
222,25,50,0.0002809099327809179
223,25,51,0.0008565450409385351
224,25,52,0.0001920928216810688
225,25,53,0.00018660445534732383
226,25,54,0.00019495987872108488
227,25,55,0.00011358532064619719
228,25,58,9.895690813873237e-05
229,25,92,0.003691522921001408
230,30,46,0.001143538487753968
231,30,48,0.0027996976769148877
232,30,50,0.0017460480135598224
233,30,51,0.0053240152544610855
234,30,52,0.0011939887151548802
235,30,53,0.0011598747518647384
236,30,54,0.0012118094422467426
237,30,55,0.0007060107185263649
238,30,58,0.0006150850956858465
239,30,92,0.02294534835210681
240,31,46,0.0050713445978654076
241,31,48,0.012416050567187774
242,31,50,0.007743343364482702
243,31,51,0.02361085025891443
244,31,52,0.005295080388947706
245,31,53,0.005143792377834928
246,31,54,0.005374111439529043
247,31,55,0.0031310040560734343
248,31,58,0.0027277686852154944
249,31,92,0.10175763182238684
250,35,46,0.0050713445978654076
251,35,48,0.012416050567187774
252,35,50,0.007743343364482702
253,35,51,0.02361085025891443
254,35,52,0.005295080388947706
255,35,53,0.005143792377834928
256,35,54,0.005374111439529043
257,35,55,0.0031310040560734343
258,35,58,0.0027277686852154944
259,35,92,0.10175763182238684
260,36,46,0.009825730158364273
261,36,48,0.024056097973926292
262,36,50,0.01500272776868521
263,36,51,0.045746022376646586
264,36,52,0.010259218253586215
265,36,53,0.009966097732055196
266,36,54,0.010412340914087484
267,36,55,0.006066320358642267
268,36,58,0.005285051827605019
269,36,92,0.1971554116558741
270,37,46,0.0026169438469754265
271,37,48,0.006407000452939829
272,37,50,0.003995763723338825
273,37,51,0.012183804140016736
274,37,52,0.0027323972519890513
275,37,53,0.0026543287590750767
276,37,54,0.0027731793005261987
277,37,55,0.0016156783750891758
278,37,58,0.0014075985843579953
279,37,92,0.05250954719039843
280,47,46,0.0009483002093569496
281,47,48,0.002321700512563565
282,47,50,0.0014479422551471686
283,47,51,0.004415037040284824
284,47,52,0.0009901369832991669
285,47,53,0.000961847355204906
286,47,54,0.0010049151472290073
287,47,55,0.0005854723031682043
288,47,58,0.0005100705671541153
289,47,92,0.019027849852966624
290,53,46,0.0002777164898831066
291,53,48,0.0006799265786793317
292,53,50,0.0004240402318645273
293,53,51,0.0012929751332262664
294,53,52,0.0002899686879661849
295,53,53,0.00028168386831000785
296,53,54,0.0002942965788313517
297,53,55,0.00017145974592783095
298,53,58,0.00014937780895227714
299,53,92,0.0055724417426545065
300,89,46,0.00015677543783723766
301,89,48,0.00038382952022220215
302,89,50,0.00023937755024610455
303,89,51,0.0007299053171438602
304,89,52,0.00016369200127123353
305,89,53,0.00015901508694919826
306,89,54,0.00016613516546931165
307,89,55,9.679179205603356e-05
308,89,58,8.432618247305948e-05
309,89,92,0.003145733241821092
